ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 3.6318955e-4, 3.6318955e-4, 3.6318955e-4, 7.4946001e-2, 3.6318955e-4, 1.0706572e-1, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 3.6318955e-4, 3.6318955e-4, 3.6318955e-4, 7.4945830e-2, 3.6318955e-4, 7.4945830e-2, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 3.3026931e-4, 3.3026931e-4, 3.3026931e-4, 7.2999425e-2, 3.3026931e-4, 7.2999425e-2, 0.0000000, 9.9676974e-2, 6.3967280e-2, 9.9000001e-1
2, 2.9475876e-4, 2.9475876e-4, 2.9475876e-4, 7.3079966e-2, 2.9475876e-4, 7.3079966e-2, 0.0000000, 1.2047324e-1, 5.4177213e-2, 9.9000001e-1
3, 2.6913450e-4, 2.6913450e-4, 2.6913450e-4, 7.3386781e-2, 2.6913450e-4, 7.3386781e-2, 0.0000000, 9.5209882e-2, 5.6640543e-2, 9.9000001e-1
4, 2.5292239e-4, 2.5292239e-4, 2.5292239e-4, 7.3572278e-2, 2.5292239e-4, 7.3572278e-2, 0.0000000, 6.4099170e-2, 5.8835480e-2, 9.9000001e-1
5, 2.4297395e-4, 2.4297395e-4, 2.4297395e-4, 7.3803090e-2, 2.4297395e-4, 7.3803090e-2, 0.0000000, 4.0944435e-2, 5.6806453e-2, 9.9000001e-1
6, 2.3770452e-4, 2.3770452e-4, 2.3770452e-4, 7.4059002e-2, 2.3770452e-4, 7.4059002e-2, 0.0000000, 2.2168016e-2, 4.5809314e-2, 9.9000001e-1
7, 2.3550693e-4, 2.3550693e-4, 2.3550693e-4, 7.4037962e-2, 2.3550693e-4, 7.4037962e-2, 0.0000000, 9.3313036e-3, 3.8643576e-2, 9.9000001e-1
8, 2.3392498e-4, 2.3392498e-4, 2.3392498e-4, 7.4029580e-2, 2.3392498e-4, 7.4029580e-2, 0.0000000, 6.7626522e-3, 3.9259296e-2, 9.9000001e-1
9, 2.3241929e-4, 2.3241929e-4, 2.3241929e-4, 7.4111454e-2, 2.3241929e-4, 7.4111454e-2, 0.0000000, 6.4783203e-3, 3.5436668e-2, 9.9000001e-1
10, 2.3161007e-4, 2.3161007e-4, 2.3161007e-4, 7.4109010e-2, 2.3161007e-4, 7.4109010e-2, 0.0000000, 3.4938785e-3, 2.8914100e-2, 9.9000001e-1
11, 2.3102823e-4, 2.3102823e-4, 2.3102823e-4, 7.4152276e-2, 2.3102823e-4, 7.4152276e-2, 0.0000000, 2.5184965e-3, 2.3601141e-2, 9.9000001e-1
12, 2.3021080e-4, 2.3021080e-4, 2.3021080e-4, 7.4414261e-2, 2.3021080e-4, 7.4414261e-2, 0.0000000, 3.5507663e-3, 2.0587962e-2, 9.9000001e-1
13, 2.2945680e-4, 2.2945680e-4, 2.2945680e-4, 7.4626207e-2, 2.2945680e-4, 7.4626207e-2, 0.0000000, 3.2860544e-3, 1.6919309e-2, 9.9000001e-1
14, 2.2890167e-4, 2.2890167e-4, 2.2890167e-4, 7.4735492e-2, 2.2890167e-4, 7.4735492e-2, 0.0000000, 2.4251745e-3, 1.3528837e-2, 9.9000001e-1
15, 2.2855958e-4, 2.2855958e-4, 2.2855958e-4, 7.4777238e-2, 2.2855958e-4, 7.4777238e-2, 0.0000000, 1.4967057e-3, 1.0796246e-2, 9.9000001e-1
16, 2.2840130e-4, 2.2840130e-4, 2.2840130e-4, 7.4773893e-2, 2.2840130e-4, 7.4773893e-2, 0.0000000, 6.9299596e-4, 9.0559525e-3, 9.9000001e-1
17, 2.2823903e-4, 2.2823903e-4, 2.2823903e-4, 7.4800298e-2, 2.2823903e-4, 7.4800298e-2, 0.0000000, 7.1095815e-4, 8.0466475e-3, 9.9000001e-1
18, 2.2803013e-4, 2.2803013e-4, 2.2803013e-4, 7.4857071e-2, 2.2803013e-4, 7.4857071e-2, 0.0000000, 9.1613899e-4, 6.9141826e-3, 9.9000001e-1
19, 2.2794954e-4, 2.2794954e-4, 2.2794954e-4, 7.4865848e-2, 2.2794954e-4, 7.4865848e-2, 0.0000000, 3.5353660e-4, 5.7883011e-3, 9.9000001e-1
20, 2.2789369e-4, 2.2789369e-4, 2.2789369e-4, 7.4869998e-2, 2.2789369e-4, 7.4869998e-2, 0.0000000, 2.4507151e-4, 5.4081320e-3, 9.9000001e-1
21, 2.2781589e-4, 2.2781589e-4, 2.2781589e-4, 7.4879333e-2, 2.2781589e-4, 7.4879333e-2, 0.0000000, 3.4147987e-4, 5.1528364e-3, 9.9000001e-1
22, 2.2776340e-4, 2.2776340e-4, 2.2776340e-4, 7.4891426e-2, 2.2776340e-4, 7.4891426e-2, 1.0000000, 2.3045299e-4, 4.8200013e-3, 9.9000001e-1
